,molecule_chembl_id,canonical_smiles,standard_relation,standard_value,standard_units,standard_value_nM
6025,CHEMBL3746891,NS(=O)(=O)c1ccc(N2N=C(c3cccs3)CC2c2cccs2)cc1,=,6110.0,nM,6110.0
6023,CHEMBL3747561,NS(=O)(=O)c1ccc(N2N=C(c3cccs3)CC2c2ccco2)cc1,=,6110.0,nM,6110.0
3619,CHEMBL1210017,N.NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(/[N+]([O-])=N\O)cc2)cc1,=,6100.0,nM,6100.0
1670,CHEMBL16733,CCOc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1,=,6100.0,nM,6100.0
3598,CHEMBL1171252,COc1ccc(/C=C/C(=O)O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O[C@@H]4CO[C@@H](O[C@@H]5[C@@H](O)[C@H](C)O[C@@H](O[C@H]6[C@H](O[C@H]7CC[C@@]8(C)[C@@H](CC[C@]9(C)[C@@H]8CC=C8[C@@H]%10CC(C)(C)CC[C@]%10(C(=O)O[C@@H]%10O[C@H](CO[C@@H]%11O[C@H](CO)[C@@H](O[C@@H]%12O[C@@H](C)[C@H](O)[C@@H](O)[C@H]%12O)[C@H](O)[C@H]%11O)[C@@H](O)[C@H](O)[C@H]%10O)CC[C@]89C)[C@]7(C)CO)OC[C@@H](O)[C@@H]6O)[C@@H]5O)[C@H](O)[C@@H]4O)O[C@@H]3CO)O[C@H](CO)[C@@H](O)[C@@H]2O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1O,=,6100.0,nM,6100.0
4972,CHEMBL2018668,CCn1c(Cn2nc(Cc3ccccc3)c3onc(C)c3c2=O)n[nH]c1=S,=,6100.0,nM,6100.0
5621,CHEMBL3264515,CCOC(=O)c1c(C)oc2ccc(Oc3ccccc3C)cc12,=,6100.0,nM,6100.0
6131,CHEMBL3824003,COc1cccc(-c2cc(C(=O)N/N=C/c3c(Cl)c4ccccc4oc3=O)nn2-c2ccc(S(N)(=O)=O)cc2)c1,=,6090.0,nM,6090.0
5931,CHEMBL3425979,CCOC1(c2ccc(O)c(O)c2)Oc2ccc(CCO)cc2OC1O,=,6040.0,nM,6040.0
5929,CHEMBL3425981,CO[C@]1(c2ccc(O)c(O)c2)Oc2ccc(CCO)cc2O[C@H]1O,=,6020.0,nM,6020.0
6659,CHEMBL374130,CC(C)=CCC/C(C)=C/Cc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,=,6000.0,nM,6000.0
861,CHEMBL98489,CSc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1,=,6000.0,nM,6000.0
3837,CHEMBL1766286,NS(=O)(=O)c1ccc(-n2nc(CCCNC(=O)Nc3ccc(Cl)cc3)cc2-c2ccccc2)cc1,=,6000.0,nM,6000.0
3246,CHEMBL447148,NS(=O)(=O)c1ccc(C#Cc2ccc(=O)n(C(F)F)c2)cc1,=,6000.0,nM,6000.0
7035,CHEMBL4645058,COC(=O)[C@H](Cc1ccccc1)n1cc(COc2nc(Cl)nc(N3CCCC3)n2)nn1,=,6000.0,nM,6000.0
7027,CHEMBL4643198,CC[C@H](C)[C@H](Nc1nc(Cl)nc(Nc2ccc(N3CCOCC3=O)cc2)n1)C(=O)OC,=,6000.0,nM,6000.0
6515,CHEMBL4163160,O=C1COCCN1c1ccc(Nc2nc(Nc3ccc(Cl)cc3)nc(N3CCOCC3)n2)cc1,=,6000.0,nM,6000.0
6504,CHEMBL4162459,COc1ccc(Nc2nc(Cl)nc(Nc3ccc(N4CCOCC4=O)cc3)n2)cc1,=,6000.0,nM,6000.0
1775,CHEMBL147141,COC(=O)[C@@H](C)NC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,=,6000.0,nM,6000.0
4848,CHEMBL1916963,O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1ccccn1,=,6000.0,nM,6000.0
4965,CHEMBL2018565,CNc1nnc(Cn2nc(Cc3ccc([N+](=O)[O-])cc3)c3onc(C)c3c2=O)s1,=,6000.0,nM,6000.0
4955,CHEMBL1956396,CN(C)c1ccc(-c2nnnn2-c2ccc(S(C)(=O)=O)cc2)cc1,=,6000.0,nM,6000.0
2332,CHEMBL118335,CCNC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,=,6000.0,nM,6000.0
6513,CHEMBL4159797,O=C(NCCOc1nc(Cl)nc(Nc2ccc(N3CCOCC3=O)cc2)n1)C1CCCN1C(=O)OCc1ccccc1,=,6000.0,nM,6000.0
7604,CHEMBL83527,COc1cc(/C=C/c2ccc(O)cc2)cc(OC)c1,=,5990.0,nM,5990.0
7356,CHEMBL4856711,Cc1ccc(Nc2ccccc2C(=O)NCCc2c[nH]c3ccccc23)cc1,=,5960.0,nM,5960.0
6580,CHEMBL4244043,O=C(COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1)OCc1cc(-c2cccc([N+](=O)[O-])c2)n(-c2ccccc2)n1,=,5940.0,nM,5940.0
5988,CHEMBL3735808,COc1cc(C2CC(c3ccc(S(C)(=O)=O)cc3)=NN2c2ccc(C(=O)O)cc2)cc(OC)c1OC,=,5940.0,nM,5940.0
3264,CHEMBL210300,COc1cc(/C=C/c2ccc([N+](=O)[O-])cc2)cc(OC)c1,=,5940.0,nM,5940.0
3536,CHEMBL1077398,CS(=O)(=O)Nc1ccncc1Nc1ccc(Cl)cc1,=,5930.0,nM,5930.0
5962,CHEMBL3596288,COc1ccc([C@H]2C(Cn3c4ccccc4c4ccccc43)=NO[C@@H]3CCCC[C@H]23)cc1,=,5900.0,nM,5900.0
3559,CHEMBL1092136,CC(C(=O)O)c1cccn(C(F)F)c1=O,=,5900.0,nM,5900.0
2468,CHEMBL184022,CS(=O)(=O)c1ccc2c(Sc3ccc(F)cc3)c(CO)[nH]c2c1,=,5900.0,nM,5900.0
